[Nov-06-2023 17:36:54]  'error' 404 GET GET_CENTRO_COSTOS 
ERR: nulos.
[Nov-06-2023 17:38:42]  'error' 404 GET GET_CENTRO_COSTOS ,message: nulos.
[Nov-06-2023 17:38:56]  'error' 404 GET GET_CENTRO_COSTOS ,message: nulos.
[Nov-07-2023 21:03:23]  'error' 500 GET getTurnos, SequelizeDatabaseError: Invalid column name 'estado'..
[Nov-11-2023 00:54:14]  'error' 500 GET getAsistenciaUbicacions, SequelizeDatabaseError: Invalid column name 'estado'..
[Nov-11-2023 01:18:31]  'error' 500 GET getPersonal_EmpresasByLimitAndOffset, SequelizeConnectionError: Failed to connect to 35.175.69.142:1433 in 15000ms.
[Nov-13-2023 01:46:33]  'error' 500 GET createAsistenciaFechaTurno, SequelizeDatabaseError: Cannot insert explicit value for identity column in table 'Asistencia_FechaxTurno' when IDENTITY_INSERT is set to OFF..
[Nov-13-2023 01:51:50]  'error' 500 GET createAsistenciaFechaTurno, SequelizeDatabaseError: Cannot insert explicit value for identity column in table 'Asistencia_FechaxTurno' when IDENTITY_INSERT is set to OFF..
[Nov-13-2023 01:55:47]  'error' Error: POST createAllAsistenciaFechaTurno, asistenciaFechaTurno nulos.
[Nov-13-2023 01:55:47]  'error' 500 GET createAsistenciaFechaTurno, SequelizeDatabaseError: Cannot insert explicit value for identity column in table 'Asistencia_FechaxTurno' when IDENTITY_INSERT is set to OFF..
[Nov-13-2023 01:56:57]  'error' Error: POST createAllAsistenciaFechaTurno, SequelizeDatabaseError: Cannot insert explicit value for identity column in table 'Asistencia_FechaxTurno' when IDENTITY_INSERT is set to OFF.
[Nov-13-2023 01:58:59]  'error' Error: POST createAllAsistenciaFechaTurno, SequelizeDatabaseError: Cannot insert explicit value for identity column in table 'Asistencia_FechaxTurno' when IDENTITY_INSERT is set to OFF.
